user_id,game_id,play_time
76561198084996656,10,7895
76561198084996656,80,30
76561198084996656,100,0
76561198084996656,70,485
76561198084996656,220,1298
76561198084996656,340,23
76561198084996656,320,0
76561198084996656,360,0
76561198084996656,380,0
76561198084996656,400,223
76561198084996656,420,0
76561198084996656,12120,257
76561198084996656,12250,0
76561198084996656,3700,226
76561198084996656,40700,341
76561198084996656,20900,134
76561198084996656,550,680
76561198084996656,22600,1298
76561198084996656,8980,6
76561198084996656,729040,0
76561198084996656,31280,170
76561198084996656,40800,723
76561198084996656,620,353
76561198084996656,105600,728
76561198084996656,20920,306
76561198084996656,730,5562
76561198084996656,204360,2273
76561198084996656,205100,45
76561198084996656,12110,19
76561198084996656,12240,0
76561198084996656,200210,321
76561198084996656,230410,117
76561198084996656,251670,1
76561198084996656,262410,541
76561198084996656,224260,18
76561198084996656,233450,295
76561198084996656,234710,55
76561198084996656,72850,9420
76561198084996656,49520,24281
76561198084996656,273110,133
76561198084996656,292910,1009
76561198084996656,304930,4786
76561198084996656,311690,8025
76561198084996656,321040,185
76561198084996656,326960,1
76561198084996656,261640,900
76561198084996656,330830,673
76561198084996656,346010,524
76561198084996656,7670,1544
76561198084996656,8850,1269
76561198084996656,8870,1032
76561198084996656,409710,163
76561198084996656,409720,198
76561198084996656,365720,1
76561198084996656,322330,2118
76561198084996656,420740,71
76561198084996656,207140,2592
76561198084996656,319630,169
76561198084996656,489830,0
76561198084996656,588430,15
76561198084996656,305050,49
76561198084996656,218620,170
76561198084996656,657200,53
76561198084996656,323580,135
76561198084996656,368230,187
76561198084996656,209670,55
76561198084996656,845070,0
76561198084996656,611500,0
76561198084996656,365450,0
76561198084996656,304390,0
76561198084996656,654310,0
76561198084996656,231430,0
76561198084996656,278360,0
76561198084996656,275390,0
76561198084996656,1085660,0
76561198063661830,300,0
76561198063661830,30,0
76561198063661830,40,0
76561198063661830,60,0
76561198063661830,1670,0
76561198063661830,2620,0
76561198063661830,2630,0
76561198063661830,4000,0
76561198063661830,6870,0
76561198063661830,4560,0
76561198063661830,228200,0
76561198063661830,4700,0
76561198063661830,4760,0
76561198063661830,4770,0
76561198063661830,9340,0
76561198063661830,20,0
76561198063661830,50,0
76561198063661830,70,0
76561198063661830,130,0
76561198063661830,220,0
76561198063661830,280,0
76561198063661830,320,0
76561198063661830,340,0
76561198063661830,360,0
76561198063661830,380,0
76561198063661830,420,0
76561198063661830,10090,0
76561198063661830,12210,0
76561198063661830,20540,0
