game_id,tag
433850,Open World
433850,PvP
433850,Battle Royale
433850,FPS
433850,Action
433850,Shooter
433850,Third-Person Shooter
433850,Free to Play
433850,Zombies
433850,Early Access
433850,Co-op
433850,Online Co-Op
433850,Adventure
433850,First-Person
433850,Violent
433850,Gore
433850,Walking Simulator
377160,Open World
377160,Post-apocalyptic
377160,Exploration
377160,Singleplayer
377160,RPG
377160,Atmospheric
377160,Adventure
377160,Shooter
377160,First-Person
377160,Story Rich
377160,Action
377160,Sci-fi
377160,FPS
377160,Action RPG
377160,Sandbox
377160,Great Soundtrack
377160,Third Person
377160,Survival
377160,Third-Person Shooter
377160,Casual
264710,Survival
264710,Open World
264710,Exploration
264710,Underwater
264710,Crafting
264710,Base Building
264710,Singleplayer
264710,First-Person
264710,Adventure
264710,Horror
264710,Sci-fi
264710,Sandbox
264710,Aliens
264710,Atmospheric
264710,Early Access
264710,Action
264710,Indie
264710,Survival Horror
264710,Multiplayer
264710,VR
49520,FPS
49520,Co-op
49520,Loot
49520,RPG
49520,Action
49520,Shooter
49520,Open World
49520,Funny
49520,Multiplayer
49520,Comedy
49520,Online Co-Op
49520,Adventure
49520,Action RPG
49520,Dark Humor
49520,Memes
49520,Sci-fi
49520,Singleplayer
49520,Stylized
49520,Futuristic
49520,Atmospheric
582010,Co-op
582010,Multiplayer
582010,Action
582010,Open World
582010,RPG
582010,Third Person
582010,Adventure
582010,Fantasy
582010,Character Customization
582010,Difficult
582010,Singleplayer
582010,Action RPG
582010,Exploration
582010,Great Soundtrack
582010,Replay Value
582010,Atmospheric
582010,Hack and Slash
582010,JRPG
582010,Souls-like
582010,MMORPG
374320,Dark Fantasy
374320,Difficult
374320,RPG
374320,Atmospheric
374320,Lore-Rich
374320,Third Person
374320,Exploration
374320,Story Rich
374320,Co-op
374320,Action RPG
374320,PvP
374320,Adventure
374320,Great Soundtrack
374320,Action
374320,Open World
374320,Multiplayer
374320,Singleplayer
374320,Replay Value
374320,Character Customization
374320,Souls-like
242760,Survival
242760,Open World
242760,Horror
242760,Crafting
242760,Adventure
242760,Building
242760,Survival Horror
242760,First-Person
242760,Action
242760,Exploration
242760,Sandbox
242760,Atmospheric
242760,Simulation
242760,Singleplayer
242760,Indie
242760,Realistic
242760,Gore
242760,Early Access
242760,Masterpiece
242760,Zombies
322330,Survival
322330,Multiplayer
322330,Co-op
322330,Open World
322330,Adventure
322330,Crafting
322330,Online Co-Op
322330,Sandbox
322330,Difficult
322330,Indie
322330,2D
322330,Funny
322330,Atmospheric
322330,Survival Horror
322330,Strategy
322330,Horror
322330,Singleplayer
322330,Action
322330,Roguelike
322330,Simulation
620,Puzzle
620,Co-op
620,First-Person
620,Sci-fi
620,Comedy
620,Singleplayer
620,Online Co-Op
620,Funny
620,Adventure
620,Science
620,Female Protagonist
620,Story Rich
620,Action
620,Multiplayer
620,Atmospheric
620,Masterpiece
620,Local Co-Op
620,FPS
620,Strategy
620,Space
275850,Open World
275850,Space
275850,Exploration
275850,Sci-fi
275850,First-Person
275850,Procedural Generation
275850,Survival
275850,Adventure
275850,Singleplayer
275850,Sandbox
275850,Atmospheric
275850,Crafting
275850,Space Sim
275850,Indie
275850,Multiplayer
275850,Action
275850,Simulation
275850,FPS
275850,Great Soundtrack
275850,Massively Multiplayer
319630,Story Rich
319630,Choices Matter
319630,Great Soundtrack
319630,Female Protagonist
319630,Time Travel
319630,Atmospheric
319630,Episodic
319630,Singleplayer
319630,Adventure
319630,Time Manipulation
319630,Mystery
319630,Multiple Endings
319630,Third Person
319630,Point & Click
319630,Indie
