,tag,cluster 0,tag,1,tag,2,tag,3,tag,4,tag,5,tag,6,tag,7,tag,8,tag,9,tag,10,tag,11,tag,12,tag,13
0,Indie,0.9930555555555556,Action,0.968,Simulation,0.9795918367346939,Turn-Based,0.9712918660287081,Singleplayer,0.8503401360544217,Strategy,0.9461883408071748,Open World,0.9301075268817204,Platformer,0.9217081850533808,Indie,0.6943942133815552,Anime,0.9021739130434783,Singleplayer,0.9239766081871345,Horror,0.9783783783783784,Action,0.9965156794425087,Action,0.9428571428571428
1,Roguelike,0.9305555555555556,Multiplayer,0.896,Strategy,0.9591836734693877,Singleplayer,0.84688995215311,Simulation,0.8435374149659864,Singleplayer,0.7802690582959642,Sandbox,0.8978494623655914,Singleplayer,0.8932384341637011,Singleplayer,0.6600361663652803,Nudity,0.7608695652173914,Adventure,0.8830409356725146,Action,0.8540540540540541,FPS,0.975609756097561,Singleplayer,0.8987012987012987
2,Roguelite,0.8402777777777778,Massively Multiplayer,0.736,Singleplayer,0.9183673469387755,Strategy,0.8421052631578947,Multiplayer,0.8231292517006803,Multiplayer,0.7443946188340808,Adventure,0.8817204301075269,Action,0.8932384341637011,Action,0.6274864376130199,Sexual Content,0.7228260869565217,Indie,0.8187134502923976,Singleplayer,0.7891891891891892,Shooter,0.89198606271777,Adventure,0.8675324675324675
3,Singleplayer,0.7986111111111112,FPS,0.648,Management,0.8775510204081632,RPG,0.7511961722488039,Driving,0.7551020408163265,Action,0.6591928251121076,Indie,0.8548387096774194,Indie,0.8576512455516014,Casual,0.46473779385171793,Singleplayer,0.6793478260869565,Story Rich,0.7397660818713451,Survival Horror,0.7621621621621621,First-Person,0.8466898954703833,RPG,0.6883116883116883
4,Action,0.7361111111111112,Shooter,0.64,Sandbox,0.7278911564625851,Turn-Based Strategy,0.6267942583732058,Racing,0.6666666666666666,War,0.6278026905829597,Survival,0.8387096774193549,2D,0.8149466192170819,Multiplayer,0.4267631103074141,Indie,0.6684782608695652,Atmospheric,0.7046783625730995,Adventure,0.7351351351351352,Singleplayer,0.7909407665505227,Third Person,0.6363636363636364
5,RPG,0.6388888888888888,Co-op,0.632,Building,0.6598639455782312,Fantasy,0.5311004784688995,Open World,0.6666666666666666,RTS,0.5829596412556054,Action,0.7688172043010753,Adventure,0.7544483985765125,Great Soundtrack,0.38155515370705245,Visual Novel,0.6467391304347826,Puzzle,0.6754385964912281,Atmospheric,0.7081081081081081,Multiplayer,0.7003484320557491,Atmospheric,0.5922077922077922
6,Adventure,0.6319444444444444,First-Person,0.536,Indie,0.6394557823129252,Adventure,0.5167464114832536,Realistic,0.54421768707483,Simulation,0.57847533632287,Multiplayer,0.7688172043010753,Great Soundtrack,0.7117437722419929,Simulation,0.36347197106690776,Adventure,0.6467391304347826,Great Soundtrack,0.6637426900584795,Survival,0.6378378378378379,Adventure,0.5365853658536586,Open World,0.548051948051948
7,2D,0.6041666666666666,PvP,0.528,City Builder,0.5714285714285714,Indie,0.49282296650717705,Action,0.5374149659863946,Tactical,0.515695067264574,Singleplayer,0.7634408602150538,Side Scroller,0.5124555160142349,Funny,0.33815551537070526,Cute,0.5434782608695652,Point & Click,0.5029239766081871,Gore,0.6270270270270271,Sci-fi,0.5052264808362369,Story Rich,0.5454545454545454
8,Difficult,0.5902777777777778,Indie,0.528,Economy,0.54421768707483,Tactical,0.44019138755980863,Sports,0.4013605442176871,Historical,0.5022421524663677,Crafting,0.7473118279569892,Difficult,0.505338078291815,Strategy,0.31464737793851716,Mature,0.5271739130434783,Casual,0.43859649122807015,Indie,0.5891891891891892,Atmospheric,0.4738675958188153,Great Soundtrack,0.5168831168831168
9,Great Soundtrack,0.4722222222222222,Open World,0.52,Resource Management,0.46258503401360546,Multiplayer,0.40669856459330145,Indie,0.4013605442176871,Military,0.4618834080717489,Early Access,0.7043010752688172,Pixel Graphics,0.38434163701067614,2D,0.27848101265822783,Casual,0.5217391304347826,2D,0.38011695906432746,First-Person,0.5837837837837838,Co-op,0.4564459930313589,Fantasy,0.5064935064935064
10,Procedural Generation,0.4722222222222222,Adventure,0.512,Multiplayer,0.41496598639455784,Great Soundtrack,0.3588516746411483,First-Person,0.32653061224489793,Co-op,0.40358744394618834,RPG,0.6182795698924731,Retro,0.3487544483985765,Arcade,0.27124773960216997,Story Rich,0.4891304347826087,Horror,0.35964912280701755,Psychological Horror,0.5567567567567567,Gore,0.37282229965156793,Multiplayer,0.43896103896103894
11,Pixel Graphics,0.4583333333333333,Early Access,0.488,Casual,0.3945578231292517,Turn-Based Combat,0.3588516746411483,Adventure,0.29931972789115646,Indie,0.336322869955157,Simulation,0.6075268817204301,Funny,0.3309608540925267,Difficult,0.2603978300180832,Dating Sim,0.45652173913043476,Short,0.3391812865497076,Multiplayer,0.4648648648648649,Great Soundtrack,0.3623693379790941,Masterpiece,0.4155844155844156
12,Dungeon Crawler,0.3611111111111111,Free to Play,0.464,Early Access,0.36054421768707484,Story Rich,0.31100478468899523,Atmospheric,0.2789115646258503,Great Soundtrack,0.2914798206278027,Building,0.521505376344086,Casual,0.3309608540925267,Adventure,0.24050632911392406,Female Protagonist,0.44565217391304346,Mystery,0.3333333333333333,Story Rich,0.3783783783783784,Masterpiece,0.34843205574912894,Action RPG,0.38701298701298703
